parameter,value
function,WFG1
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,3
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,f2,rank,crowding_distance,constraint_violation,evaluated
55,1.8328197463623024,3.1278338507818937,3.6979736572490669,0.28799548691695365,6.5432377172627421,1.5572353536613917,4.1210326065792797,5.7730360812219841,4.9436127599854505,1.479379959419804,3.3470174613295045,3.8788447142233657,24.40650414747213,10.391749073816008,1.5005425408251118,23.710577836981631,10.155128258782165,7.3568924744091255,37.306752135874312,35.720848476784127,31.892649569684927,28.649304876294302,1.825441089743054,39.066065372746571,2.8452431549501536,0.99311989549446311,0.9849803492942597,2,inf,0,1
56,0.35841721385605929,2.601743241388693,5.479728090840192,0.41124041491127022,7.341914372105566,3.9374122690767521,12.706808794870462,1.3518790532758638,0.9994238174947585,10.518150559814401,20.625202955395956,23.279540031718966,6.0932535144821216,23.825597290323373,19.707955879543217,20.65352253624869,29.08217288607586,33.518061842948555,16.647530482128364,2.108527697455417,22.994740162585352,8.8931288423188448,39.252247117303199,34.624466886237549,2.8311642919951163,0.99297969486191995,0.99228370470730476,2,0.37185445950590312,0,1
57,0.53733571149674431,2.6910522677056092,2.2655636268784747,1.058320853600935,0.77728311884984747,8.4456298378825263,7.0308763141470152,13.402418881424747,11.752613490605805,0.86327810865543708,3.4576914084507129,22.165470928936369,16.516899564944847,16.276053615012213,6.2822032149106617,0.85430234815622674,31.85284382241904,16.522846811777807,34.528401772981617,0.1351059571792825,24.678844018055536,32.628374317990747,18.910112502338876,23.063744135237744,2.8458920655899642,0.98919586706151774,0.98721303832801399,2,0.35736770312293853,0,1
58,1.5431899912205429,1.2054420025774086,4.6364348600658642,1.2234385807386505,5.7863393200716118,0.10809594726299339,9.9265953158967175,7.5302528826790667,13.762666272547476,9.3478537100523713,5.9180230932189311,19.960622151919289,14.334448409258229,1.9622818594623916,14.174251243278899,23.768474468120456,6.5265065938486364,16.715214276939037,8.7537865579379748,20.329901508572167,8.7598689546954827,2.1693868219417238,23.867646276189515,8.2693611360073564,2.8559092316736949,0.98462681120004969,0.98726287952647551,2,0.04475241789184678,0,1
59,0.71823700130089219,0.96018114714944991,1.0900127214459332,7.0612975034848899,3.1321450634251082,2.7146456554750569,13.139407745135578,1.8012915959743436,15.404743165317733,18.574157869150742,12.233644208530945,4.856707757202849,4.1535467107670447,10.754150925823827,29.262021142497609,16.095660943150119,20.109302530015682,18.320491847077399,10.368718226382573,26.213551387000813,21.668795942215795,27.306592549669663,10.698930876081665,28.402532131381882,2.8526333911156896,0.98158607449363167,0.99627877640107432,2,0.14036657660817517,0,1
60,0.47053665356489122,3.2604002299652328,3.2633834223884954,1.5300821609497259,5.8883993625359823,0.57764154657357702,0.22222171694848913,0.79537624277246621,7.1894752476884145,11.538079282821165,19.08538400521708,18.867893691976139,6.6222714329583301,2.3031374382008658,4.7326798942269486,6.7037721934083541,14.191014983584218,12.516840599153831,26.595593152766092,27.900379836436674,3.1384035068333413,1.6046669030948095,36.312392709481941,43.225370269619567,2.8710304617576501,0.98544897399330711,0.98450326288716927,2,0.077909118750859763,0,1
61,0.99840606865278747,0.89684627797779504,1.6938779707191554,7.8559351003258318,7.8233930663834075,0.079288494287657205,0.12982606318828965,8.2322250525838374,7.1609712687550902,3.9935029032527227,9.90056827286889,2.7858292433854377,4.609946421597388,18.752619825172225,20.682170067989286,7.7603781714329161,11.632305200737509,29.144292253636962,30.65047764504736,22.039170361380741,12.210999514170586,43.181171876085848,19.462322643296329,33.602917400343784,2.8701669934625467,0.97984145094867969,0.9929313531305376,2,0.18985887166516849,0,1
62,1.5693598412219223,2.571577453231646,4.0514399258931251,0.55463335734452279,8.9186692515926538,4.3391477175542592,10.516501150806745,6.8236980643673819,2.1730365919788843,15.980615226214724,1.9236986131514477,23.196535993649562,21.457660300095888,27.289065525149979,22.688069254683004,16.644924440835236,23.104396854473286,30.242640252906018,18.922831854081721,15.885861448049832,25.683701472964017,6.3785361189078937,21.554494236358405,3.2173150438126674,2.8571060526806393,0.9885006575194486,0.98358481933929665,2,0.29271809138738897,0,1
63,0.91909056157876035,3.8452690299115799,2.0051113243593583,3.7766674049478377,1.0539125026580791,6.0369109185377052,12.399658053143405,8.5500373907740812,5.066581782932686,7.091693733539933,19.718165473268439,5.7957392775202097,0.62098642111827984,27.04035054364963,12.899036899627282,11.081232365566096,19.620299525827292,4.5549417013036733,36.101645676100077,12.54443321935004,40.018907225842682,9.6093023461553226,11.440209199196918,41.462486384146217,2.9046786162755209,0.97947556082130416,0.97810440292472278,2,0.060701061367135149,0,1
64,0.45078095199900348,2.5870156569985423,5.5268014749747323,1.6037980904001283,8.7985310472010863,5.5896924413047255,10.149721694869791,4.8459411367722014,8.8021314179878605,4.0734865703974199,1.9495577046311259,3.9765513698226238,13.077909846768348,22.052268207305119,27.108056010989063,7.0247708524834502,25.096452921773487,9.2809041610319607,21.43993232008728,5.2971853661293844,15.627682302037735,3.6456403214699011,23.263406158468197,33.331528916214467,2.8745651044121985,0.98271883999530496,0.98470355502998075,2,0.10150191303533115,0,1
65,1.7738409197544631,3.5473676983821107,3.0912999634982783,2.136700406093575,8.8034347012938312,5.9757996898935426,4.6681496999369365,14.315145738457696,3.6806948381433275,16.39209315325806,18.454432731349925,12.547104807103457,4.2103853875511197,26.571356447163758,1.7834722742295854,28.367983489720977,19.527703570167887,13.638488158210151,24.354399909956346,5.1122801213329687,17.081520698888752,15.68204388534688,6.9531777534776653,41.110707042829311,2.9056128677055377,0.979485597205076,0.97742586951869936,2,inf,0,1
66,1.5433421839689616,2.2594704359253845,1.028621086920757,3.4053229106577256,7.491975041778054,0.39552956424671049,6.749366563673374,8.3476126984778691,9.6752344578606273,3.2635312963832268,14.037707440978098,5.6687852799388851,4.0770650423185,10.88125996287094,15.079700930138971,5.3002427343153418,18.935879993200764,29.176090072230458,5.1811142516179594,31.014078547017021,41.254456236429057,41.471977709877521,15.604610830482768,33.26818002571116,2.8765279584868928,0.98457797667929492,0.98244151037759864,2,0.1532802559990557,0,1
67,1.259363621981074,2.2325613471949248,1.0333121620657795,5.5232023618607364,8.4369879614711536,1.9830570643161449,8.7141661193575146,15.276265245830858,2.7264485316870721,13.331910152796278,7.8831026305722265,20.542998226226707,5.3841169656090768,22.79474378623069,27.67702270516634,11.745271018139816,17.520883608507315,1.6240977577306213,0.45187058426088911,35.695499609509895,18.351340777434295,41.675120592377056,24.620632584784065,26.546323321597036,2.8887796748098267,0.98323499692281247,0.98271369574720457,2,0.19260459753320627,0,1
68,1.0454732499714317,2.9472458500155976,0.99243667802002622,5.4964663925244883,4.2681084387329209,8.7426887608162005,10.588695465734903,6.3617804346569491,16.653601947497386,4.0702063569643219,0.17605964144303926,22.232417071097899,7.6573002143158115,4.674644594455077,0.72304876012013164,14.464051414650291,27.483517306738104,13.261566747230106,23.149865556742359,1.3939089790290458,14.892243820546692,3.4548786584191258,31.88651911500228,0.61020798801253184,2.892191692457728,0.98048724986209901,0.97922424295024946,2,0.1633848349326707,0,1
69,1.9360253071879261,1.4382412164872567,3.3241929219588293,3.2908352623536428,9.6604656380944434,2.4366941264921924,13.899571948199251,10.547199445016945,14.563390331686396,9.1630175669464649,19.520777167246099,12.814424000826953,15.009265613781817,25.689952322486288,9.4243957639932621,23.236429984618301,27.378018540171851,17.282265365341772,18.527826167702628,33.656402483476668,23.332156563773744,11.874776823816216,22.390164788236977,13.24060318846896,2.8905797958386463,0.98116205542153245,0.98258541325836724,2,0.081440531344308009,0,1
70,0.89865236276976013,2.4302059979246895,3.2574136148540571,5.5365778262214818,7.6743306316345681,4.4645437389976959,5.0208874947503048,8.9624047287204416,17.611634132036031,9.3793185295533341,2.9349206867105471,23.242621880492802,4.9048331245543153,16.594401003215811,23.088624917606548,13.416158091826759,29.24848850157414,17.720453146101633,18.298324972373688,8.067343943141692,27.000146839227607,5.5029234955976642,36.097388509956616,15.421153765282105,2.9126884724943074,0.97946734936863333,0.98069244613481499,2,0.11593152925874735,0,1
71,0.99126277742742686,1.1896167636178649,4.3745877299932285,6.4502488054695695,4.8109171215206992,4.0779094594769481,7.23656595560991,1.1789335390569831,6.4160439910172276,14.240848044657103,4.1525494913657894,12.381530132037884,2.8325436272933517,4.6003940910777974,7.521214046502946,15.225454346989052,16.085657343615296,6.0826782299377733,0.42517316640492714,13.381726904248536,27.757879265629558,6.8728670451880758,31.26233784323118,5.0989060906428101,2.8985488578330538,0.97911825718618761,0.98746596951770949,2,0.19994418334318084,0,1
72,1.5755955775522337,0.20170905148075727,5.6637805985416119,4.2691317307336281,1.3355377825414547,0.80458046101872727,5.7118486428235338,15.402948414518498,5.0082694933545735,13.999288812417415,13.914154690656925,21.409476665083744,1.8271186550740524,15.647785159967738,20.256575980768261,31.07512910689886,23.375360859457544,1.9322942833298447,37.899166746620665,35.521688399595021,15.424601894237426,18.674200905117665,8.9108193998103644,10.480105156808603,2.8337433248323176,0.98282089495748648,1.0419535470359449,3,inf,0,1
73,1.2947337934300782,3.1954140590818305,3.6823476983839813,5.8094556841833498,5.3633653799085055,7.7706294101164026,4.5171399648742199,7.6224313443899216,0.47196047326968327,8.5114290802713519,21.072406891391328,20.17831337846857,24.257955034039924,8.6555252128701881,20.328603984785516,19.489815441435912,6.9506389686599697,5.9659835163443935,11.385835035455635,21.493829437173922,14.280127932862575,21.305925223306044,39.945037092443627,38.443223842139361,2.9354431342607006,0.97850131383839367,0.9784028455522934,3,inf,0,1
74,0.79169731899189444,2.8312195129045841,5.2281659173722606,5.4930003716935252,9.3920004560219574,0.097489438219769714,5.0923602207799954,10.520375267551779,8.1588935460640979,15.381919779300832,21.457463351226636,8.1321818260633805,23.621221051255425,16.500819845797601,14.671434435560283,0.74784205361607814,11.292395986360638,22.80564263354141,25.589746091711149,25.128049754502904,19.46556770580268,6.8761104955899857,2.203952829779265,24.060077540853023,2.9285745122539995,0.97923609928133337,0.98029818927654777,3,0.38971387800655494,0,1
75,1.1040869921781795,0.44456563628240248,5.1011286166902572,2.1159183270295085,9.5274672097563098,1.8279185306190024,9.4782511968370624,5.3773854141822053,11.341214029859696,4.6671338719987183,0.13482081501970999,18.079766507790502,24.007619447737277,27.211681770889278,17.926710127616683,22.089303448356787,29.732937086847404,26.775591000248493,6.3107219489681379,29.677451428429439,17.054233673894093,32.070558895746018,39.929843188906275,25.971866591560921,2.834745846660347,0.98720550383031913,1.0183812616600787,3,0.35920672122433295,0,1
76,0.69028471810891268,0.51498779549943263,1.8130405180882532,5.9772451284145705,1.1527043499393548,1.6777800805355247,4.6738441683436154,3.4107829022499847,14.386491039294425,7.6988126266996257,16.906071859375945,14.84410886833907,12.787919938778368,2.2783972180648355,29.452030338602889,7.7860301811455477,33.354537437732887,0.87452312991081693,7.5321416466758535,38.636020230148716,29.379279730195869,10.541783689240285,13.070982920497652,35.771428381100982,2.8389000295215192,0.98590317736426447,1.0210651648045637,3,0.60618903153972736,0,1
77,0.23898094766204028,2.0991975321714103,0.50173803188749633,7.3348906760641102,9.1044837986389826,3.5871613312481339,8.1814477352616439,9.0545924568674057,11.05088973239393,19.130713176665495,5.7415375935297286,5.5443701187135188,13.869660815377882,26.598267743269346,14.791787809420377,17.299216273532654,26.026493645202933,1.6324461054271717,5.318712575180502,31.69614317375132,1.2516571333801791,38.857520758595413,24.876256823436471,21.503048782841951,2.8485738313651545,0.98709297251215622,0.995675620743671,3,0.38460648045425039,0,1
78,0.7786231569681149,0.83652827946071129,2.5766418086861003,2.9077541741854174,9.3216145471086254,3.9175653917972459,3.3979589149407934,10.260839862106458,5.5840365233301616,5.3547385397410032,14.937203722318504,17.375629228482154,0.066124201063179983,11.414861054593498,8.2130345234306876,15.439679226876944,1.3578768169242523,17.164924593422977,27.944819645636819,23.405595182277523,2.2363837960828628,3.9331978608108984,32.535374579259603,40.250375392452426,2.843435619028881,0.98522845052322239,1.0018646572205376,3,0.34080677759136424,0,1
79,0.43736580678127629,1.7633132879723714,2.8816690983152426,2.666274444199324,0.08912680141764151,6.0655671699201523,9.424061907798162,0.8873491467970307,2.8364333108731725,12.102064726020604,7.0229234265025369,21.37241084185597,20.549711571403847,6.0899781317822512,6.0062698588194676,21.774082143767224,5.3113723198176235,18.372995752736212,37.546457753398627,5.7876762724623809,2.0286005067932571,39.558815994963865,32.905160806636239,14.895736232649504,2.8636405463877144,0.98737987034194308,0.99442904620593664,3,0.25575362489625797,0,1
80,0.20401528971600075,3.812484017027157,1.0008829121706331,3.5152354933044507,1.6041638881477447,10.551261214279631,6.6983048268684806,6.3864543674475982,4.9584633738327213,1.0328246989697856,3.0517216465925463,18.68732174018724,4.6293872533120251,16.336278869978191,27.843714649118827,3.4452439620849002,15.389906853850091,5.6157298715313466,11.560011381070964,30.564957800335833,26.330721853071715,31.288194052275912,8.8991862722450286,3.2846908949170821,2.8612276891206743,0.98760151890406767,0.98837848393546635,3,0.52920845977683317,0,1
81,0.81532162439588529,0.80339467378937912,4.7072654652164694,7.3069282775196287,7.9496565158969714,2.1851928876295097,2.61545324944007,10.056724851497837,0.24535398848296852,1.8650815467808337,13.648537473277255,10.267568131523223,4.7482644853277849,17.828828262447821,8.6856119101762417,27.607719460025137,20.625419831647527,16.607780952079693,21.789787297525908,32.321626856979307,40.20530159424397,11.423801802170942,18.461868528914245,42.486743213400999,2.8879218241174938,0.98209346718718005,1.0007700004595392,3,0.31075001001758823,0,1
82,0.22445135665519805,1.4029695734969445,5.3860655620518489,4.6124346592552294,7.9208363788702787,4.7816115689140872,13.889623377842454,0.95627442409006447,2.364534978040151,0.17863468781629147,21.209500759977306,22.854754894724177,17.866899255510841,16.391321038303708,20.264133125973594,15.012425607367961,23.036302473692778,26.579026935776238,9.6446203561156683,39.221768567476261,17.671996396609121,29.19920772515723,13.979346586592548,13.357683256745977,2.8721621111024378,0.98219932643570051,1.0029980161889276,3,0.52523129959890202,0,1
83,1.2823008052451614,1.7538659628465898,3.4369216413092039,4.9827878901831859,4.9338342463331708,11.982118739115649,13.08383793240119,8.144364143145344,12.864928977172553,5.3903139359906769,12.134623201709585,15.285568621607418,14.033185480402908,16.039574835261107,24.653108663516313,29.084728606436336,19.725259827215922,17.343700567846643,28.547732330310751,8.7550737529556351,13.892687707180258,13.987732843143945,29.112861220624431,0.77464601185978843,2.9052797121329856,0.98043744346550687,0.98254066597955192,3,0.2664503769306103,0,1
84,1.0761183880563587,2.2598646417645543,3.4406122136471868,4.3490780289145601,6.6788615690425566,4.5793218966206473,13.677083579263796,3.9960436369629808,14.601519742270693,6.6100961720015272,4.7211626661494339,23.309139754923319,6.5579698891857525,27.311549893483441,14.384059223530526,0.85257168578767628,14.392454689339177,26.693173075516722,6.6827425086646537,13.678365240765043,35.439163861967444,29.288492583809081,23.814891071181215,29.14097711167857,2.906186999623249,0.97949379228739597,0.98039541764270799,3,0.36570237988054632,0,1
85,1.6974186540895841,3.4161488475901471,0.68577847180894214,2.9848678531604103,2.7137292820461285,5.8792741359617438,4.3367352013086649,14.309709022204821,9.4827078356514658,19.622774283505898,17.714580210451473,20.321333420811083,20.619677335870747,25.517245279701157,17.4148057150678,22.103646596404236,22.749812279400849,33.148456526735494,14.581908469246672,7.7473846820140064,3.238864959360074,33.287026378668195,25.947005190281043,46.321226407968517,2.8843831661937123,0.99035339557404478,0.98615644590980855,3,inf,0,1
86,1.9395690929074973,2.2003641538905163,2.7318477160922834,2.6233799209743673,6.7638741948241794,10.90174302699743,4.9999793079577701,15.835555216748823,5.2834960551704828,4.779849569824222,8.9670834261322661,4.779021846432391,22.04833473763949,11.21686713809606,17.192002603746385,31.131534048707504,6.1739877622190757,26.066291395931088,27.287599743576433,17.480356391876409,6.4631017550211736,10.005339692835136,15.026542817725835,46.348829805733104,2.8933496553239459,0.98051753244284279,0.9792322076127844,3,0.30355721249722484,0,1
87,0.84553146095672616,3.2224452901264002,3.2887382884580587,1.9802123929419175,0.10771793279756879,2.9630458267266979,3.4981752914522053,9.85221373770238,4.7148030903023637,10.485518064479052,8.365615776220654,0.86615257721506922,21.933768739820461,12.599058805379077,29.294429491101592,1.8383116404208919,5.5450404107831615,6.5733943916788045,20.569117974055992,10.907954705869294,20.717267225958818,32.293491623502142,8.4987493667809488,44.19347253565774,2.8916510425591508,0.98531726062860714,0.98381737926075052,3,0.16719606568805118,0,1
88,1.8620236956457941,1.9408600519077273,5.5403783162663993,7.1097717161693694,0.89803054752863942,11.601425337375739,1.8757279873224546,6.8212485204337066,15.458896330902236,9.0853621007551926,2.8358053187224059,7.4110258841047454,12.240863103438539,19.408126197170347,19.17820001099496,9.4590111350452357,11.843847332349295,4.7177001092013162,19.563046895876184,24.309504932697379,8.640337490472298,43.672994418685128,6.5401817511294302,34.50071523093856,2.9407111545172224,0.97857406148702764,0.97955062171367679,4,inf,0,1
89,1.3418640254428948,0.34502617779560751,5.9487034144855526,6.2360015053346611,9.9436479595133243,7.8442770672134898,0.52399116168595872,11.505429763814961,12.38608982207562,12.176261777106506,2.3366482802317012,6.7364349961449461,20.18158028571192,24.924656519980928,15.317979209096872,22.902653887236671,2.6444817080509337,22.150952348876345,31.836546972191428,27.840215765149296,23.312492810665628,37.892344226957768,34.284789548421195,12.698367004079376,2.8702349196555348,0.98737166580273461,1.0256560973207454,4,0.51151195613564626,0,1
90,0.26242782288835453,0.64170954647409917,5.2204902869725771,7.8968131705499713,9.3884934496709622,4.5844266931472042,6.7514637344983868,10.718208045019979,14.63035886742149,18.360781394610008,1.9285112734401881,3.0843220531631212,19.122057392272733,26.960392165706935,17.013940681009966,30.310890440197742,29.135419916887869,25.325975389796337,6.8444255478314968,24.773367354720204,23.439298827562546,2.7504018739376779,20.199494973481158,41.278299137348149,2.8662426536154499,0.98709565692523815,1.0346309432142775,4,inf,0,1
91,1.4584926899346597,0.43374818172975499,4.3823064538221548,3.6769228025495919,8.7915437194478656,8.0905493911625932,0.80630756868243703,2.4979927861897813,11.18279784453923,11.454863833301223,3.9778463538738347,2.7636747010242564,22.477782657974451,7.8675551565477484,28.764585753465841,25.925409435960447,1.2273973770089004,14.417501905835199,0.11822676763009758,7.1879721042382076,19.408883817760891,5.61963955050871,0.93325306242768946,2.1680173669016578,2.8557448096559033,0.98830336428723209,1.0159089013331775,4,inf,0,1
92,0.61005235968621907,1.9668708767286698,2.4692824551547323,2.5429219769774081,4.8828232010471169,0.75258696821894455,1.5861526682837688,15.181390133498219,13.533942920996237,2.0281305215671139,12.868630654579203,21.780802862986882,16.725647550867922,18.607197000111693,6.7501116686280769,2.6063203861449376,3.0935910979452865,0.13837740262388101,36.382252077661967,2.5916962916066804,32.127188055171317,24.013212571262297,22.991301505402845,4.2023097913171075,2.8730655159151808,0.99180097371086362,0.99475151283112551,4,inf,0,1
93,1.0932400423709265,0.72643771007982472,4.2050863473142162,6.2659255263669156,4.4023949342245832,9.9077088988787558,5.4770394588844349,14.856178673094313,0.91609381607262974,9.8057921617524411,19.20979648343306,20.4910302026686,20.704211817257097,14.132533162628786,24.622407524608221,15.561092027095683,28.822449385624374,27.031036806029782,16.250437711433324,5.0127693048410009,19.93547512322251,3.4820927480842281,40.85516320011277,2.5419506264603289,2.8853368049500405,0.98582979237330981,1.0031450259067842,4,0.98253193169198294,0,1
94,1.7593119896257916,1.2793956439713341,3.6268800361668925,7.6416813752948922,4.1579211549199826,2.350698750747763,2.3243987200640444,9.9969132752441467,1.0132860476237697,6.5710564957786453,21.569060339659686,18.518337100854176,5.4426433413275204,16.38790186598025,13.193641999750131,19.633733551631906,10.87902887833317,4.0283913045171635,11.894556300438609,39.757515334710043,6.9625153973102814,20.368483785933421,29.233789446666037,1.780222473933132,2.9160165346889499,0.98076729250069072,0.98455948267136573,4,0.46555928738780539,0,1
95,0.43017939431288299,3.8325603938051374,5.9868104630610297,4.3983224647459735,7.4738206575618324,8.8326775182140995,4.1986818506000763,13.73978703599113,6.1595146564930996,15.86625619088097,10.426930557441031,6.1654444740820322,2.4864224050223158,2.9605582571953915,7.8877619788068003,12.686511712326181,25.176254366329939,11.445517593927754,18.831053405153774,34.218072487706593,41.642168170306206,2.0907898908807923,4.6017671660587238,10.834841645175986,2.9269626378391651,0.98172267670686597,0.98268578423156205,4,0.43048025802826007,0,1
96,1.0168204009705748,3.5004407583678656,1.5071998504041928,5.1851212837369589,1.6472275549727236,4.2317303396836161,11.077599940485795,0.68349353274253433,11.407028100332594,15.283261008261068,17.948124346591271,10.882412796496135,18.501752215743434,4.5226548745503896,18.520768753478922,27.883682249841844,29.990853649898899,15.468287847133942,10.401984209934387,33.931859598087158,10.62303608715677,3.7236761091924575,20.364257675675201,24.720996840690134,2.909546061973181,0.98222297749170684,0.98111548011092331,4,0.3419901295107905,0,1
97,1.0452713766287285,1.4795090507019,3.2011918172690379,6.8349341945581585,8.8126044423766849,11.561386343073558,8.4745730742561793,11.954198480469241,14.09689836585752,5.0042167981266736,18.776646260598252,22.699937184026375,14.072695207752956,26.000199535093937,15.575967746661467,7.6846432343121318,13.120934393613691,11.197192979281938,18.522887105458654,34.810246591743592,12.197353774779147,32.530386997721259,45.815376385227729,24.655677886806117,2.9043720802550581,0.98120036089625895,0.98610186448852188,4,0.17983030514131301,0,1
98,0.47082066745383871,2.0553551128331358,3.3164814967428167,6.6891188969939579,2.7898861361677776,5.1712039348320333,13.613703223615733,8.0820225270142849,13.421950972057735,1.0773236214464326,2.4564541025545932,19.373413533720587,20.570593364833293,12.448269979817702,28.701925178043108,29.827654134820932,14.804699296276599,3.3919388458766475,34.254910875944518,12.487324823476218,8.6956826211429732,12.927864831276922,31.203234803870288,36.402589565667903,2.9042393071539845,0.98368055672840959,0.98941178565715515,4,0.44082277786081436,0,1
99,1.041373132523981,3.7373134975663489,0.7418577575075751,5.4143051923206231,2.5210803052972248,5.4130800678266198,10.370972915187936,6.0824132671457836,11.889775512829795,11.832749200404569,6.378201552989994,14.744392651608173,13.635287041240225,2.0488826629989387,26.599119349583596,27.541063965741511,28.058600437207271,5.6420014445614939,37.398449613538006,27.852111177545659,23.547187278007979,8.0484702924688794,43.151914725333015,34.640208432808315,2.9019727486239253,0.98927209983636788,0.98704596471361283,4,0.54699437770320558,0,1
100,1.1371084356251739,2.4257670941404528,5.4016377190459446,7.1465307103620193,6.0037983343646673,9.4082978622240496,11.036712327459808,15.692140345190321,12.358137243497954,18.398944554127961,1.5267112076553886,12.754999733658167,15.186595447297558,10.825710962694643,7.8378110179905649,14.378099095456951,18.618109283355292,30.453232415796041,31.000219771980955,10.450568265994535,41.246334681800242,40.834536072069334,15.440929882594128,33.818985606270701,2.9418563774876207,0.98124335637632287,0.98231763447118059,5,inf,0,1
101,1.803399690669425,3.120687991138821,5.8750569491588616,5.934035008530345,4.1557778130760692,8.87204968719489,5.2949801625890265,8.0601177304016307,0.799170876298819,6.1857131679446331,21.519152884595545,5.1403390705302954,0.40454139297810671,16.800789736472822,7.5514256200764871,23.68369328520652,8.3299963552151581,15.336146160410905,17.441213710082028,33.704844711963808,38.076771159718007,28.027780348242221,6.4324537903013477,26.338802282130125,2.9578815146335669,0.98167160912373697,0.9816712891074505,5,inf,0,1
102,1.9943696164605311,3.7302294454726619,0.76874668663383594,7.9923241237221889,2.3608897629816923,4.7589687139513117,5.4307503636478547,10.715936647152754,16.839703308684243,16.926218366896812,6.8920172879524246,12.589155908777673,11.529775238902252,6.4281621669855173,16.032417216529517,29.24678472183993,15.54496351540749,15.505148528170034,35.686856208679899,31.135569421556792,30.070761463519016,35.321330152126848,4.2688372741494121,24.871322322923572,2.924079991580137,0.98268641452309891,0.98121837693098779,5,inf,0,1
103,1.7300404910353893,3.3165876435997026,4.977620188265635,2.1843998190743008,0.59243197126740221,8.0463364968396967,8.3029172353858254,10.74646546848531,7.4121818252005642,3.9510178730504837,6.371852166769397,3.410883191873407,20.366176289936767,11.55108766801877,1.025139300746063,19.968959471211914,22.461614646395034,10.745830751707302,16.953111027986015,8.8849819431945622,3.0812953185139906,20.646495095386012,4.4239239217237092,43.361768226626673,2.9200003597718971,0.98290626843195017,0.98165229324036973,5,0.7656558461175953,0,1
104,1.2567678354196452,2.957057909083292,4.9380098870003417,2.2703539526828553,9.7397365073453219,5.1837246215160935,1.6337715322632373,3.5182629748129104,3.8961920998305559,7.6919129809445552,20.501854626711879,6.952145936829357,7.41462609195478,13.786114020715965,2.0009635709261446,19.103789313964679,27.079570290788972,0.14772619887565469,1.3125333072472849,27.335984933015904,29.300146609362347,37.704904038209001,19.343192642430367,8.5471040717855296,2.9119141812945544,0.98477632105557467,0.98389787146629792,5,inf,0,1
105,1.6205857409897237,3.736636000647648,3.0002213395729607,2.344034759435027,9.0573552111298721,4.4112152223829586,5.7039501971518103,2.3086313653508665,15.941692656001146,13.307676324405136,4.0409479705833178,14.017194630270293,11.750336009794413,26.241661058276431,12.654991681533254,14.033233916447026,27.24720716312671,0.56619841288612105,30.963441960941829,37.865313295105871,16.772424340862738,39.968767665435934,4.388060831089299,26.195721711642896,2.9131420151576961,0.98414610034960404,0.98223887491862805,5,0.94644595300875112,0,1
106,1.8046218295224761,3.2692787918345956,3.8756254299689843,3.2451568872237875,2.4508718802662264,8.1877822892195837,9.8969327171129109,1.0988680728960585,8.6276870206609324,11.303130486540063,17.189773877667022,22.768795682647951,6.2043283854391396,26.837652602019592,11.252951538070105,8.1212170177387222,8.0814401455741169,16.317832798620401,4.4046710550098602,17.281864162604439,2.351307919255142,24.686484993400168,30.707877054988803,5.6146199726471409,2.9271561386482006,0.98228173955944487,0.98136437167795287,5,0.83589645570243043,0,1
107,1.9995382367210897,2.2949276234962732,3.8343538449842258,3.9175968750816401,8.8937474836582719,10.494123192911811,11.869059727074367,10.363581677020704,10.540415862748306,5.631655791358031,21.816388092379363,19.191868634521803,13.042541969072769,21.624829323218453,3.7284012179177219,29.472571576882576,1.5244440261139858,8.2297731420124265,32.014481347444864,12.22286456293379,20.341505322165066,28.602357859538131,6.6213709263259579,14.678315526120938,2.9234397972559223,0.9843008669267076,0.98400134409764228,6,1.9796040939611095,0,1
108,1.5517000111517916,3.8261257577831129,5.4365395400436203,1.2981607478082686,9.7412753393503699,10.211329549029697,9.3350645223996374,11.098091136313261,17.938964683964372,3.7121299038012143,1.3261683272023124,15.300317186623207,24.626268460010227,24.723435381776756,7.6229736599889675,30.484757760681529,0.64196151574210625,29.293005908003771,6.8766269570476783,4.0325916704874052,7.6658323623761522,26.607056152709852,39.446209480693568,8.2932467491827282,2.9173143755916078,0.99321752344421133,0.99100823102542335,6,inf,0,1
109,1.661243102177661,1.3345368736571435,3.6494609087680914,6.886870271127143,2.2954062443404801,9.7759365796509545,9.9785078372355152,5.9634899592904791,16.574040901450626,14.720837829389675,7.1337169422408619,1.1755629471572357,13.614261521258756,23.725558770427437,26.793793516315237,18.221573542710178,22.345697628127503,23.574874753319236,6.5529436001671781,36.079396830065278,36.739197757107519,32.269866195753494,33.217101357599162,13.298017167645497,2.9177953638162384,0.98555143866634376,0.98916254821320837,6,2.2233510834274455,0,1
110,1.3234688800820673,2.8454194012430833,4.1251190476076047,4.5891673210628143,6.2423712141835281,2.5126093311410731,2.1887186254669109,0.44354313151809066,3.1628566731999324,19.497527801456474,5.8362108078083033,2.6394437264734818,18.492713180362955,14.98730939661306,23.525769979802799,13.427986538417597,26.285017868058247,3.7702949786400639,28.881450647683767,20.238708753854095,13.173459997542198,40.166712271436168,19.549192983561209,36.585062405090426,2.9302181290926681,0.98304095602176511,0.98297700465326121,6,inf,0,1
