parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1.126384071,2.991936588,2.745542581,0.619147626,3.336902197,5.962018101,10.87131557,12.83054754,15.39327213,17.30099386,6.792165079,21.61229837,21.30270788,2.150713778,0.032548603,29.7494514,28.58361688,4.235623793,12.14113165,19.17789523,37.82884462,1.383910798,37.94270121,40.37641455,1.01407648,3.915385556,7,0.499977738,0,1
79,1.418045841,0.93061687,1.314898049,5.084467331,0.836496935,5.321670713,13.56476997,14.63792736,12.99461947,12.2312474,6.023227005,18.98804603,2.893915326,12.33723877,15.48589634,24.16162649,6.9613257,8.050246638,18.6113055,35.30483619,10.44826107,29.30894069,6.760409784,10.44717178,1.025300782,3.624265801,7,0.257544048,0,1
80,0.416910548,3.11307314,5.558746853,5.076961216,1.283332889,5.388844701,11.91400951,4.391136279,12.50012368,1.38209092,17.33810664,19.23026499,3.74877647,5.852156662,21.10176833,16.70461478,25.95753477,1.635732256,24.19429667,31.04506511,35.86706862,10.71444739,37.75951325,7.796061893,1.487515815,2.785596648,7,inf,0,1
81,0.321591401,3.756178637,3.948134968,0.101406078,1.006771791,7.886963473,0.290909479,5.355786705,5.88880778,13.40056007,13.85239831,21.68599656,7.599247469,3.234591404,0.049626654,14.81276148,8.706049132,7.623800776,34.73679991,25.11759608,1.720654402,0.733659342,1.326241908,24.92211487,1.137441846,3.584891154,8,1.289232996,0,1
82,1.341524276,1.534225343,3.232748645,1.465872346,8.92958744,11.62949028,3.508241089,14.9846734,11.83344495,18.95006511,15.45095961,20.50212952,1.483332149,16.78492203,25.884975,6.378018997,19.68169812,5.601715653,14.01710633,7.543585934,19.21218902,2.226410127,5.548189483,28.17584614,1.108858027,3.589429162,8,0.248073473,0,1
83,0.632047083,0.94309386,3.243743751,7.085588326,6.818588108,4.140237547,10.29439367,11.24363943,9.047512712,6.820736836,9.51609318,8.889043475,0.955245538,25.96037518,14.59441787,17.79650991,26.89857377,30.26249891,4.224986803,30.8960084,0.476292003,8.134581794,40.69505177,42.52308641,1.019853562,4.431597739,8,inf,0,1
84,0.590113967,1.597713175,5.114518735,2.175736279,1.428294086,1.174753272,13.87883027,10.76132784,10.93099571,5.134897103,1.540841865,15.82822038,2.082404291,19.72715711,13.39651384,20.91838908,5.03479892,34.60689025,11.42269599,35.28686212,11.69134259,7.335739428,6.492417065,9.106777977,1.060740786,3.796753412,8,0.692565596,0,1
85,1.293778808,0.271649012,1.785471614,7.605704285,5.699885917,4.580282976,4.752405716,10.88756963,12.16484938,14.47109122,13.62955677,14.06037953,3.791043225,8.090248325,13.39709937,6.617890709,30.07729197,9.070431083,18.5794381,31.62736792,5.860946009,26.23555058,21.45547087,31.79547653,1.029290341,4.422903595,8,0.50236764,0,1
86,1.6443979,3.705910724,4.054661896,4.633721006,7.826574451,8.175934497,6.56025313,10.05285394,2.448719251,18.43248464,7.507592198,5.331155575,6.525293343,3.587650564,3.897609759,15.27089146,19.96114396,34.30554481,34.63639392,28.73124677,13.86634409,34.090155,12.82524791,36.13171094,1.803920591,3.021522021,8,inf,0,1
87,0.778626859,2.194221095,2.808214903,6.258003172,1.350051137,3.580550886,5.231889789,13.01884512,9.677539454,5.538507978,3.146190004,22.41231414,22.35380916,10.49896951,8.180419272,6.444530521,15.32594192,32.42725566,35.24683844,1.782481476,2.832062982,9.940821822,8.295314001,24.54543598,1.273379936,3.586895069,9,2,0,1
88,1.18316272,0.380669073,2.430224924,5.945943603,3.733517606,0.321150066,4.673153127,14.3363711,2.586411202,3.802776211,21.91466133,9.714360975,23.55289851,3.157452645,26.01324052,24.74538797,13.66267715,10.3089516,8.09313362,20.12450212,31.74455188,40.03722168,18.26242596,27.12774516,1.074750627,3.909289383,9,inf,0,1
89,1.40211372,3.494750084,5.320820752,4.141413196,7.245307584,8.807289693,8.998525178,9.692783219,13.51824612,14.28398896,14.83802976,23.28121186,10.16631188,3.165743107,27.04689636,26.80210396,10.44742243,27.41033087,32.92120617,23.52974166,40.48518563,20.2848935,3.770261181,10.94645479,1.818752269,3.35153985,9,inf,0,1
90,0.6663316,1.203689265,5.969047631,4.427400637,3.488071355,11.82250619,6.510708759,13.73889254,0.766442179,11.61790845,4.382922087,8.659406858,0.951863267,7.065876831,26.37839838,5.701675505,4.082957831,19.43914043,27.53940621,5.1874636,19.45423789,24.99695134,38.62491173,7.127615627,1.307959256,3.676925253,10,1.460506794,0,1
91,0.180170142,1.177108653,4.503205491,6.803916914,7.944237747,11.66991743,13.25838354,14.28713487,4.550243684,13.3055037,10.46212796,10.97955261,15.73241797,12.78300339,15.07706461,23.17559111,2.663439289,14.02127962,21.10120816,17.21746295,22.40625996,40.49724857,6.666015848,30.48473052,1.07663165,4.492406251,10,inf,0,1
92,0.212589538,3.127962233,2.852265507,5.817969106,7.009231945,4.523561469,5.755919461,5.802709839,15.79376414,7.558478116,18.81620177,19.26118146,8.891110413,4.94944077,23.31167925,31.55218193,16.13776292,27.04985868,3.405537722,25.0171884,7.711612376,14.44060742,19.12237328,12.28758972,1.142025102,4.249508511,10,0.270996805,0,1
93,0.648636617,3.263214719,4.00412454,2.166412542,5.119579235,3.085505967,12.40525529,9.176710103,2.473196763,3.889781857,7.407203214,15.19633433,15.90986795,10.30869894,28.69244256,14.35281892,33.78182317,29.02423004,12.87241267,15.57870776,13.79295377,14.37107725,35.88965884,24.17203805,1.078549311,4.258356653,10,0.36329708,0,1
94,0.267120446,2.40290982,2.994113106,7.040367227,6.832403727,10.36816372,11.82755553,12.11670605,5.135946992,9.406046521,2.858106192,19.04000749,5.384873928,25.55161454,19.77741711,15.29896749,31.24989002,29.73624468,21.39916228,2.447813337,36.97202674,0.742031918,28.66819625,27.37250832,1.174345084,4.132415612,10,0.872131159,0,1
95,1.699480152,3.144054712,5.116190644,3.762441731,3.919900469,5.324262683,6.606731776,13.10105715,1.171557335,7.08217133,1.724327855,6.919113704,19.08891648,27.50118601,6.759436768,21.60946625,13.09064497,30.03319363,4.466339976,38.59694162,40.53591856,15.67622338,19.35952212,28.71542367,1.825634334,3.612309176,10,inf,0,1
96,1.921653021,1.799573096,1.393696885,4.122080264,2.965640327,10.93302841,12.94051099,1.476060324,7.08620401,0.514878451,18.23681679,13.06574266,25.43126273,4.066883214,2.173261024,31.28881431,26.15335759,16.12568806,4.348465401,21.12370374,8.129386476,20.21709603,36.79236019,9.87095145,1.334980133,3.926938553,11,inf,0,1
97,1.329019693,2.925606095,1.014029642,3.687882401,2.604189729,6.797134944,5.798155413,12.6267953,9.35434363,6.450495471,1.219943068,16.09687963,15.6033917,17.01794826,26.29602004,28.75802583,10.92026853,28.9194668,30.35087791,19.91144006,23.54213283,37.70324121,10.44730647,23.67532222,1.088128975,4.466997067,11,inf,0,1
98,1.159651839,1.094669491,5.955422378,0.766611396,6.63615747,0.998485189,11.6923699,3.487454793,3.688655559,16.89644329,6.585423255,3.620858427,20.91236437,23.88243091,20.57937093,29.59281543,0.795555695,31.91106412,25.93405823,24.8285952,31.77882904,28.65887152,33.06214327,36.19033352,1.109168551,4.455904435,11,0.842518679,0,1
99,0.004112957,3.430581547,5.25787245,3.145055941,5.559846656,10.97989467,2.938393562,10.68947801,1.022827931,14.52167913,13.34689039,19.37963172,10.63193286,2.913791015,27.57188028,23.37271715,18.73638792,5.370871707,5.855496127,39.25675892,8.493118385,40.8959087,11.50222876,44.63670962,1.308551253,4.146995692,11,1.06047444,0,1
100,0.385556488,3.223002681,1.215479827,7.167456625,8.755637728,2.668160934,10.1676556,2.912934431,1.484957672,16.26258417,10.97860608,0.28733551,2.607777043,20.64721537,8.267429682,4.700893018,26.69199688,19.42134543,27.61820533,23.48635091,25.78420937,18.7914095,36.72995231,0.24679842,1.210518291,4.279749812,11,0.833754045,0,1
101,1.152360225,1.725071665,3.173626394,4.548505309,0.67680538,0.619915689,8.70931242,1.533082912,0.968938857,6.052507864,5.456708491,14.60774077,1.630368913,4.797690221,3.491181682,8.507590427,12.79547389,32.39798852,31.07226976,10.85917312,6.634612034,5.899678105,15.4332681,12.66292793,1.21065176,4.227652423,11,0.642948224,0,1
102,1.661979766,0.447793038,5.796203997,6.15104979,1.3244612,9.442171507,9.55456936,4.260650297,2.034419531,2.191703266,14.86029319,2.240880593,25.98235797,27.00653315,22.99678622,28.89323929,2.219228183,11.1773882,36.75523158,32.6031474,28.09688068,41.11504376,2.52980017,12.95403433,1.631028576,4.053111141,12,inf,0,1
103,1.443298922,1.556922661,4.110893115,7.287102374,0.508115738,2.474162157,6.082145173,6.317905962,5.329087953,7.018736764,12.77434575,4.269054452,22.2871158,24.15600563,29.92947054,2.932554571,16.89274664,26.30976438,13.11524673,5.400956825,1.088388834,2.903150841,9.552524461,22.85350764,1.5023541,4.128987479,12,1.899708801,0,1
104,0.437722993,3.86270504,1.955142704,4.008634909,5.021678815,2.100299642,3.947564942,2.185651595,7.940742502,13.30416926,5.696459059,15.93311941,6.902655569,21.09769019,18.14242634,6.743823407,18.42989351,34.32365086,25.35149132,29.5464332,25.41636165,5.15089521,3.000210028,36.01989248,1.093854803,4.497600492,12,inf,0,1
105,1.393134101,1.115094956,0.375933401,7.258499766,2.423313315,5.189868982,0.860457045,2.69407687,10.62924023,15.33500614,8.11788705,14.43671133,18.87619395,4.299216591,24.45671023,14.66212209,5.91344272,23.32974029,13.11351672,0.803483984,37.89382751,42.16919919,12.74268108,42.87490136,1.112799778,4.468698315,12,1.589755729,0,1
106,0.22488886,2.220824964,2.342056562,7.079926303,0.308361908,4.879206555,2.936910125,4.029000439,5.543527456,2.27512778,21.58948571,9.318882632,13.89339722,17.39637827,27.91519293,30.40421342,18.33317042,24.47209145,13.10063223,9.400393746,3.097981466,3.706581965,45.740567,0.75716885,1.12128516,4.47101821,13,2,0,1
107,0.437492593,3.425139486,5.441390605,6.218256829,7.23093383,8.858684257,7.220487305,12.25583924,1.533088037,1.956797901,3.707134455,8.063404567,4.418423631,12.76336104,18.53598572,1.806109283,26.38374145,34.27770931,13.11706625,7.468667217,12.19448257,22.35692443,0.85298103,20.68320232,1.604195636,4.47041507,13,inf,0,1
108,0.483761975,3.854546085,0.831836489,4.919312837,7.792290688,8.525079221,9.159317215,12.82574535,3.166157766,9.140028256,11.80310221,4.823871943,1.058658334,21.75231326,6.501255626,1.959016679,30.76034185,14.15769213,29.72256209,20.41643254,33.11401604,39.39586255,29.70138531,10.21404503,1.113447307,4.50003241,13,inf,0,1
109,1.425124851,2.044720504,3.346074403,7.888997828,9.246667556,0.293454524,2.58792252,11.22585857,6.093601075,3.700341981,4.812798465,13.4827448,8.784898276,6.359153415,20.51708005,15.88132743,0.103092086,32.66370688,35.06527375,30.02802233,31.09107188,3.764413281,31.59675411,47.29341192,1.595921174,4.481830308,14,inf,0,1
110,0.18997362,2.703313716,1.997800399,6.915984107,7.597922889,6.662028599,11.49957047,1.383037843,11.74935812,7.235556325,15.87790734,0.289199188,17.75408263,22.64829657,7.444284868,19.16541133,31.1491441,1.001108041,21.58410193,32.01111508,1.125858004,1.896926246,18.70461291,40.92838562,1.136178985,4.53751574,14,inf,0,1
111,0.481953558,3.567979918,3.718888978,2.412357988,4.973198967,10.69322482,10.74521365,15.18165,3.821321575,16.45034843,7.821574352,12.13967156,1.854637705,19.7665066,24.16076872,16.93302222,33.80913237,13.31236513,5.506847626,1.972016597,32.71071272,14.92928105,10.63170786,28.28364723,1.22313736,4.514751202,14,2,0,1
112,0.681127604,2.817793886,3.277299648,3.260439905,1.926179857,3.623132512,10.63366573,14.59390414,8.761170713,7.008646642,0.459416513,5.065005606,7.939326679,19.30051193,5.522651571,24.56119869,9.31347261,30.15349514,18.47385156,1.087456736,39.72469887,5.878288099,18.33376904,25.06265935,1.137242379,4.552085583,15,inf,0,1
113,1.578852669,3.248793778,0.303983242,3.009126195,2.719955973,6.405717228,1.727595916,9.981866562,3.775880003,0.696354921,21.53472222,15.4663575,21.35230551,14.32307293,5.962839684,24.91553804,9.548444925,35.0462133,25.06037836,17.33930077,8.339272102,37.25736571,16.98216103,28.64385659,1.178953452,4.552113238,16,inf,0,1
114,1.492194523,3.303949409,0.435743159,2.852417351,0.500195616,7.511795377,0.85948356,8.227264489,6.378804781,3.398845092,16.57667371,13.45421695,13.42811721,19.13939668,12.54634521,4.220593402,14.11595751,11.63655525,25.58260376,1.795178112,3.387528942,11.85978136,23.90148869,40.34128388,1.150301627,4.563765859,16,inf,0,1
115,1.807290055,2.247105233,1.840915952,2.081783731,8.626639514,0.831307097,2.873599199,11.48240407,7.269773284,0.551995271,10.09232504,17.89633436,18.5283647,21.41275182,0.906076545,4.650323371,7.172709783,8.318303514,15.42360456,35.78784843,2.699238077,35.64919432,45.73059915,2.155663101,1.199770975,4.562987521,17,inf,0,1
116,1.019115332,3.058813763,2.001588046,3.052511481,8.068169312,11.17529046,7.299058642,6.806790558,2.048651395,2.149087971,19.2103898,20.89229148,23.65234884,9.025002635,24.22795325,19.63192301,8.85680023,24.97136626,37.00480122,5.887024928,28.63374627,28.64694606,1.112933127,14.8698008,1.155240631,4.571885807,17,inf,0,1
117,0.117228647,3.383388843,0.633629869,7.88313449,1.301585828,2.63657831,12.10957523,10.34979017,17.32627729,6.555039443,7.250895091,10.06909105,5.914248375,24.07746936,3.809205233,10.92714176,27.39226893,26.84338093,22.35875393,36.89897106,9.656714407,39.23091484,32.32245434,31.1536395,1.164706948,4.580805855,18,inf,0,1
118,1.128224577,3.208811743,4.118195945,5.906620268,5.862869204,2.136653969,5.487623106,8.172898596,0.634765826,3.985494469,13.95098912,5.72472296,22.98829232,10.53378056,4.25975092,30.20688355,24.99360252,13.81186618,12.33305179,32.30797666,14.75073179,3.679299841,1.50149603,33.15050294,1.681165029,4.591954298,19,inf,0,1
119,0.494610581,3.265429106,0.314152679,7.032119328,0.179766231,6.719906757,7.773122999,1.012185911,3.887262963,19.56748534,1.172995533,1.645096011,5.96615936,8.177785482,0.754915437,28.24148794,26.27320454,17.47589079,14.11835574,39.47268815,21.42840305,3.607041235,2.77668715,14.27105941,1.275873964,4.692083564,19,inf,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0.541259511,1.950942173,2.747423235,1.892382404,4.597656812,5.391866345,6.336467476,6.990158068,6.304201599,10.12944072,11.42351902,11.94791351,10.95532427,10.98029495,14.91857164,15.94466727,12.21426999,15.09340101,14.17290442,21.68223904,20.38657323,14.06912634,15.88840275,14.84737546,0.474159786,3.138228651,0,0.062118055,0,1
1,1.680762969,2.923456034,4.841136105,6.309472469,4.387662607,5.977266357,5.84352442,5.097958238,9.683232092,13.45779452,7.62692173,7.078173794,15.09603943,15.97876712,7.922030579,13.02340377,17.53710479,24.40044905,12.87893379,17.23621169,18.04448423,19.10952323,15.74901756,15.33749201,1.554256137,1.08383183,0,0.009856892,0,1
2,0.639222097,1.668320837,2.177172383,3.109274434,3.640377032,5.159707056,5.379488132,6.846563848,6.275035482,8.22303131,7.430562218,13.6704332,7.976091905,14.65940741,13.5803964,17.02824357,16.27515009,16.28989476,17.04373257,16.58736399,16.54409954,15.76682521,19.90363497,22.7104118,0.488392462,2.937082876,0,0.02729081,0,1
3,0.827068668,1.385678277,1.833947613,3.360546306,4.642984212,6.049546052,5.27658134,4.221659302,4.811612191,8.366366937,9.882106288,11.07982742,10.05892944,9.797089871,16.81770906,15.33193698,10.19931879,10.49470339,15.1659381,18.23095441,12.14563331,15.42923481,18.36131849,17.57861484,0.485351144,2.948674992,0,0.059255289,0,1
4,1.391920042,2.554798141,2.623707055,4.62188848,3.879388838,4.609901064,6.158396902,4.661648828,4.648310527,9.36969224,7.038319441,10.53002118,9.67141537,11.86476723,9.753600079,13.90476105,19.32695095,14.86869984,19.30891131,14.13831143,20.51375381,17.24729064,13.55045953,16.58764107,0.949783984,1.897978346,0,0.061230947,0,1
5,0.279987023,0.952221716,1.943297022,1.116499065,4.284083466,4.985885876,6.090628946,5.911692924,5.531594727,8.682737832,10.73811169,10.56685803,9.777865863,13.91445896,16.36543375,16.3180072,12.34487011,11.84253599,16.66322554,17.96888414,13.41496604,11.07081344,16.17803442,17.47421352,0.240978433,3.313420665,0,0.123249556,0,1
6,0.863350427,1.37215594,1.572692623,3.306719965,4.622178798,5.057355146,5.270489049,6.20239074,8.042790429,8.441227902,9.570969703,10.50839637,10.01877842,11.03064954,15.25658914,14.2070995,18.70527727,16.70708607,14.37614738,20.77374042,19.7803686,18.78427865,23.81326498,25.1575281,0.46094663,3.141854268,0,0.049388425,0,1
7,1.465735889,1.81132343,2.78783706,5.362797961,3.870230791,6.418714492,6.975487154,4.685660576,5.248391239,10.1040853,7.905244457,10.07880367,11.57600653,10.65040359,11.31895765,12.2721915,20.36098857,19.57534528,17.93741504,16.00230452,21.65180618,23.23353156,22.72329156,20.84503032,0.945257526,2.06789055,0,0.077585653,0,1
8,0.189757143,0.119688135,1.566366921,2.071077125,3.993912907,5.936379781,4.488807243,4.990066839,6.723092536,9.359644216,9.439119872,8.724986735,8.46762558,11.59065998,16.86911528,16.86977551,9.847639268,12.39059744,10.0064603,18.73753456,13.63938288,16.01912404,16.88644001,22.7844945,0.211278537,3.714164992,0,0.166199617,0,1
9,0.912585145,1.046993116,1.804333156,4.279565513,4.297948159,4.182265296,5.30722032,5.934150253,6.881874017,9.61980564,8.768757522,8.179108889,11.81263138,14.9963791,10.3195044,13.99065992,12.83696396,14.74549015,14.22316742,18.91521712,18.11818525,10.64906163,19.28393065,22.18041115,0.503326778,2.63953433,0,0.034445388,0,1
10,0.840144127,1.367089999,1.011379742,4.586430921,5.137060288,3.690368247,5.923095544,5.861742339,3.750941176,7.641958098,7.239725327,9.66673764,10.0113714,9.999188288,16.58808604,16.8599387,13.4229883,15.58980154,17.57737074,11.00133705,15.85421743,15.95911551,20.31383683,23.89076554,0.490079876,2.852629277,0,0.033295993,0,1
11,1.847095854,3.134422797,3.688605936,6.930759793,4.002820933,5.731108584,4.939248632,5.631404333,7.404010373,9.218454536,7.636930863,10.4261321,13.57527009,14.74876642,8.273920619,12.15527269,21.41909991,18.50714206,24.03234522,19.09064795,24.62921083,17.38415436,20.6323245,20.26914472,1.572350867,1.017641191,0,0.024421178,0,1
12,1.693060356,3.142043521,3.754661553,7.333046573,4.425281596,3.82184932,4.996644496,4.374247684,6.52075526,10.33472348,11.06959047,10.67001959,13.04586862,6.914377136,13.2357536,11.86024373,18.84831046,21.71311959,19.90304553,15.08434572,13.3746294,17.27147725,11.63095499,16.2594807,1.561377909,1.055870491,0,0.020322364,0,1
13,1.237269136,2.10386393,3.014611053,5.770968676,4.096501162,3.444270819,4.789261777,5.253276222,7.597823849,9.748743685,8.136487606,9.441142039,13.87022524,12.72737971,12.82710848,13.75592609,16.73221234,26.24288348,15.25327403,18.47228769,16.84974714,16.6050636,18.27227851,17.07548194,0.958117423,1.821533289,0,0.033557269,0,1
14,1.577297091,3.628366745,4.423231267,5.853124255,4.211019886,6.532825123,5.550416028,5.558791651,6.870319082,8.217441991,14.27274687,15.44416041,13.63176164,7.198727612,14.4048746,10.77970977,17.24501095,17.6885227,23.01286227,13.63613487,16.91995338,21.03400807,16.01238096,20.60406202,1.548524711,1.089176382,0,0.015073572,0,1
15,1.163792702,2.489542289,3.119235299,5.435747346,3.928519059,5.363967749,5.491155448,6.039864595,4.824846271,11.06133741,9.827314786,10.66253151,11.50032626,9.289703371,13.29970732,15.11494655,18.95399628,20.3878431,15.41831239,14.88034139,19.41031461,17.22665077,15.95510158,15.2263714,0.958806672,1.728937592,0,0.374288896,0,1
16,0,0.049175513,1.081804018,0.288792604,3.393806917,5.968615175,5.080793013,5.214934811,5.486552818,8.728837808,12.51338948,7.050074199,11.03305095,12.56491569,13.63863518,16.24749679,10.91649014,11.62209132,10.38935519,24.15591287,19.40871819,15.95889689,17.55287411,17.11966596,0.162074215,4.065218922,0,inf,0,1
17,2,4,5.834084917,8,4.963315462,6.459204719,5.167015742,5.045716285,8.12427935,11.21768488,10.90160171,16.04251023,16.46299643,5.341409115,11.5223662,12.0494131,27.84470756,24.77965282,16.85792958,19.5945792,15.52672039,23.15594782,16.8545705,18.50393068,2.214534221,0.310562796,0,0.031476555,0,1
18,1.108265617,1.966021242,3.241187776,5.730939969,3.735074536,4.947257602,5.704542762,5.714700741,4.428173189,9.513018976,9.118837581,8.953163439,13.84333368,14.16005086,9.663333256,12.90171529,15.3555472,13.12692248,14.12732251,18.16490548,11.85410814,19.54458534,25.89917094,19.00922095,0.912364531,2.170174808,0,0.018961177,0,1
19,0.620271658,1.704175941,1.867440786,2.993078476,4.096361336,3.931635284,4.874485891,5.355391164,4.990996513,9.780521337,10.67917395,10.35899376,9.146417946,6.28729317,12.48989555,12.73469151,13.93587083,14.07912018,14.5055611,12.27042545,22.05010246,23.40803865,19.0962286,18.62811217,0.434398767,3.300241289,0,0.109361075,0,1
20,0.531531944,1.417200242,2.722901481,2.817472547,3.311364849,6.050742045,5.061247106,6.739719278,6.698479557,11.08214351,10.80185085,12.25037731,8.387271741,9.898452644,12.00011076,13.62027267,14.27385205,12.88330495,12.66176621,12.90911008,14.33436554,14.990945,10.58853593,17.48620407,0.454102878,3.290601828,0,0.054103392,0,1
21,1.681056242,3.339080444,3.890896303,7.256340463,4.671311382,5.997847038,5.687776835,6.202061606,7.337450746,9.919499071,11.09273566,13.43033461,11.34787222,11.92771985,11.39129684,16.57125572,16.66378668,17.55041318,23.56669306,15.47951935,12.60195631,20.54121109,19.94215342,18.60839361,1.584656718,0.995904491,0,0.277795021,0,1
22,1.989706022,4,5.393147331,8,5.023383671,6.614130011,5.974994145,6.170830707,9.123592163,10.56743322,7.914020609,8.243244464,14.74959531,14.62639808,10.894751,14.84984335,22.27529693,28.84184986,23.37730253,20.38556559,21.98876305,25.47544989,16.15170412,20.21146491,2.135472406,0.965086826,0,0.330965397,0,1
23,1.668294977,3.259734264,3.539443586,7.33445561,4.185114719,4.659550879,6.037890301,5.687865545,3.241228049,9.20660774,8.64227061,11.03358248,11.31766025,8.393145122,9.733541189,13.17240103,19.14692092,16.18257068,19.20445161,12.22111461,14.78211656,20.7725785,15.51170747,20.0277258,1.51962085,1.10892932,0,0.065528828,0,1
24,0.782555845,1.614868168,2.327472368,2.725809208,3.622591492,5.689532917,4.244173822,4.69247694,3.854589674,8.072817071,6.220313959,11.12979997,8.772310469,11.19812512,12.512968,15.9797053,16.4290569,14.89415258,17.99166676,16.78056817,15.06916755,16.75602877,14.48435365,17.15022454,0.499732504,2.761624059,0,0.043892931,0,1
25,0.281661309,0.415782857,1.062793362,2.737440823,2.841127949,3.691115898,5.319826221,6.105702218,4.557196657,8.388469963,8.673583348,9.400266332,5.365461167,9.618470226,12.38671371,11.77549017,16.12231219,10.29819698,16.76920862,14.60672176,18.40730568,18.29424262,17.92456138,19.57976803,0.22878614,3.390432179,0,0.118706994,0,1
26,1.93403033,4,6,8,3.915798566,6.277932288,4.825943988,4.691073595,7.079239827,12.30542825,8.485067327,9.742722176,12.78842184,14.88919707,8.397934168,14.98813703,20.46513574,24.48755717,22.84678301,10.50947706,22.41207187,30.6639202,18.422446,17.62311382,2.213398926,0.338477684,0,0.04646212,0,1
27,2,4,5.705562591,8,5.147036213,6.097624714,4.733733823,4.670800097,7.754297959,11.29939828,7.404614394,8.379090778,15.82856683,19.32908918,7.546703686,16.81620626,14.96783481,19.25744385,24.52476388,16.83083458,15.75528309,17.66239971,17.21355296,15.14340733,2.165926485,0.398455824,0,0.09346284,0,1
28,2,4,5.51209202,7.982933085,4.678241698,5.602861675,6.779437925,5.696762638,7.623405991,9.129851443,9.368788196,9.466189208,12.52145034,9.137011372,10.35772056,10.72334391,28.34625069,26.14270658,25.75525526,18.53358282,24.60981726,27.99948136,13.70514817,22.07955737,2.154400278,0.70915905,0,0.051776858,0,1
29,1.084818525,2.307196218,3.030113919,5.457666445,3.277795911,5.329831568,5.048302476,5.203337339,5.98069281,9.749996856,9.464798476,10.62036827,12.70093752,14.13844112,9.70383001,14.88676581,13.29005284,15.95063693,16.01153505,21.31152133,17.92707603,22.00636108,23.29653693,17.30114621,0.925586943,2.150977591,0,0.042581613,0,1
30,0.813621371,1.347081333,1.68952712,4.516552569,2.997074136,4.900217054,4.978806578,5.275071775,6.064512961,9.606487375,8.935133102,11.02366372,9.875078117,9.869004339,13.43145654,12.04335702,17.4865943,16.98257439,14.13652704,16.64894951,19.30877626,21.55801886,23.59125119,12.4206176,0.506732526,2.542333204,0,0.040052569,0,1
31,0.733680822,1.376456685,2.246715267,3.68968936,3.608566652,4.817349973,4.662022664,5.811532503,8.531565062,11.04088524,9.07071596,9.807613266,7.695189301,9.536848386,13.88335237,15.93424911,13.23609357,16.10096451,11.60429335,15.77948347,12.46858357,16.80053421,10.04460101,22.40100401,0.50062902,2.663306452,0,0.033518306,0,1
32,1.645789516,2.877655635,4.057254153,7.203765733,3.948909409,5.747036446,6.108919861,5.359196111,5.800464521,9.108555476,10.69357739,12.23359482,11.62713727,11.49875144,9.265806552,12.60161944,13.79908229,16.67658457,19.73360655,15.85886871,12.18321818,21.39466503,17.74537771,20.14495136,1.466043823,1.330438149,0,0.376240221,0,1
33,1.355968053,2.057170571,3.019734556,5.315808145,4.268433724,5.452173761,5.722910022,4.935484985,5.904088942,10.27502618,9.867819368,14.12968994,10.5226456,10.4508494,12.06015215,14.63794363,17.13936188,13.20799583,16.72175916,16.79530325,12.02982176,19.31060273,21.30426847,15.74290686,0.958037422,1.85644459,0,0.023938943,0,1
34,1.992255027,4,6,8,4.71436202,6.379923612,6.432054429,5.276143352,8.293977174,12.36320329,9.229073589,11.30056241,13.25307948,8.649527716,9.827688981,10.76562596,26.38784354,28.60897612,17.90686349,10.76128833,7.667247928,29.50595038,16.83390648,14.83645011,2.217684808,0.225522809,0,0.026849821,0,1
35,0,0,1.255966973,0,4.369414514,5.590208625,4.555069359,7.486984111,7.486334528,8.999694648,11.60052231,8.816682536,9.076912824,11.23094468,19.9822902,15.85051765,11.01459299,15.04449443,12.70775863,17.43505218,19.37926335,18.51723234,19.21520281,19.72478938,0.163751171,4.059994637,0,0.041788263,0,1
36,1.893696358,4,5.778409361,8,4.702257419,5.494529066,5.026173471,6.500755718,11.04705751,11.08167336,10.87909511,14.44421204,13.41159165,7.298123218,14.45192502,14.21167853,28.07425735,27.21569746,17.11371832,21.64913336,10.6205632,24.23413983,19.55304952,20.92493477,2.151982381,0.782032935,0,0.075790852,0,1
37,2,4,6,8,4.370797345,5.357581877,5.602250016,5.576378951,7.632618325,8.465800905,10.37696898,16.61503215,14.57557165,11.50160842,9.449057216,7.914687347,27.17214742,28.3291232,22.60115918,20.84755269,11.81695432,21.38803775,14.967498,18.2053719,2.222792198,0.222792198,0,inf,0,1
38,0.28784535,0.684909982,0.744073025,0.89921852,4.263564611,3.772437052,6.302058694,5.026171782,5.768393891,8.459489351,10.72778059,11.92610969,9.42353408,8.482727384,18.66165824,14.66280414,11.41247807,15.35289198,10.47972466,24.69772949,16.79486265,16.09381095,21.49518091,20.83047976,0.20522419,3.985108279,0,0.113066424,0,1
39,1.757787694,2.999616939,3.586788809,7.458028961,4.547492076,4.82978046,6.78914943,5.522515398,6.881288079,11.20705008,6.756860477,12.81529485,13.32781642,10.40614801,12.99306098,13.30020228,15.39581387,16.6293975,17.00985759,10.53115262,15.04340636,18.28330996,22.36592961,25.60052208,1.535886458,1.107498714,0,0.019166858,0,1
