parameter,value,,,,,,,,,,,,,,,
67,0.034782894,0,0,0,0,0,0,0,0,0,0.955317468,0.087368535,0,0.026154529,0,1
68,0.071123463,0,0,0,0,0,0,0,0,0,0.359063453,0.871073437,0,0.026112789,0,1
69,0.590260026,0,0,0,0,0,0,0,0,0,0.910393534,0.171183612,0,0.026097573,0,1
70,0.062866367,0,0,0,0,0,0,0,0,0,0.508115493,0.741818646,0,0.025355797,0,1
71,0.239885722,0,0,0,0,0,0,0,0,0,0.656734745,0.568699475,0,0.025311424,0,1
72,0.068489592,0,0,0,0,0,0,0,0,0,0.400673623,0.839460648,0,0.025094264,0,1
73,0.088806778,0,0,0,0,0,0,0,0,0,0.321056459,0.89692275,0,0.024800557,0,1
74,0.396777283,0,0,0,0,0,0,0,0,0,0.867216773,0.247935069,0,0.024724267,0,1
75,0.10115216,0,0,0,0,0,0,0,0,0,0.527449336,0.721797198,0,0.024175031,0,1
76,0.259174614,0,0,0,0,0,0,0,0,0,0.675954488,0.54308553,0,0.024130783,0,1
77,0.108177224,0,0,0,0,0,0,0,0,0,0.67246711,0.547787987,0,0.023938299,0,1
78,0.229983872,0,0,0,0,0,0,0,0,0,0.742703032,0.448392207,0,0.023884461,0,1
79,0.232803627,0,0,0,0,0,0,0,0,0,0.714096819,0.490065733,0,0.02355113,0,1
80,0.113771923,0,0,0,0,0,0,0,0,0,0.777347164,0.395731386,0,0.023370779,0,1
81,0.062116125,0,0,0,0,0,0,0,0,0,0.523683933,0.725755138,0,0.023317258,0,1
82,0.115511095,0,0,0,0,0,0,0,0,0,0.806185811,0.350064438,0,0.023222396,0,1
83,0.417888585,0,0,0,0,0,0,0,0,0,0.812344226,0.340096859,0,0.023169297,0,1
84,0.446413894,0,0,0,0,0,0,0,0,0,0.938140799,0.119891842,0,0.022992018,0,1
85,0.099649339,0,0,0,0,0,0,0,0,0,0.496890216,0.753100113,0,0.022748274,0,1
86,0.076507689,0,0,0,0,0,0,0,0,0,0.299407479,0.910355161,0,0.022296037,0,1
87,0.061099156,0,0,0,0,0,0,0,0,0,0.545033582,0.702938394,0,0.022149797,0,1
88,0.257232915,0,0,0,0,0,0,0,0,0,0.662053881,0.561684659,0,0.022020887,0,1
89,0.226215554,0,0,0,0,0,0,0,0,0,0.78329204,0.386453579,0,0.02201529,0,1
90,0.090847329,0,0,0,0,0,0,0,0,0,0.345427843,0.880679606,0,0.021834191,0,1
91,0.107070598,0,0,0,0,0,0,0,0,0,0.650083631,0.577391273,0,0.021360639,0,1
92,0.268007779,0,0,0,0,0,0,0,0,0,0.759379887,0.423342187,0,0.021200047,0,1
93,0.074806401,0,0,0,0,0,0,0,0,0,0.314127092,0.90132417,0,0.020684442,0,1
94,0.104835449,0,0,0,0,0,0,0,0,0,0.603973408,0.635216123,0,0.020628866,0,1
95,0.232377553,0,0,0,0,0,0,0,0,0,0.718269502,0.484088923,0,0.020417419,0,1
96,0.243802926,0,0,0,0,0,0,0,0,0,0.638046793,0.59289629,0,0.020392097,0,1
97,0.043566906,0,0,0,0,0,0,0,0,0,0.870790163,0.241724492,0,0.020350811,0,1
98,0.428437484,0,0,0,0,0,0,0,0,0,0.84474136,0.286412035,0,0.020243814,0,1
99,0.090928053,0,0,0,0,0,0,0,0,0,0.346495091,0.879941152,0,0.020170331,0,1
100,0.062378613,0,0,0,0,0,0,0,0,0,0.51821676,0.73145139,0,0.020127576,0,1
101,0.45778961,0,0,0,0,0,0,0,0,0,0.978714566,0.042117798,0,0.02008738,0,1
102,0.242125118,0,0,0,0,0,0,0,0,0,0.64471898,0.584337437,0,0.01994713,0,1
103,0.097899141,0,0,0,0,0,0,0,0,0,0.462402021,0.786184371,0,0.019806269,0,1
104,0.063806081,0,0,0,0,0,0,0,0,0,0.488903422,0.760973444,0,0.019740091,0,1
105,0.0637045,0,0,0,0,0,0,0,0,0,0.490962532,0.758955792,0,0.01965187,0,1
106,0.110880627,0,0,0,0,0,0,0,0,0,0.725167711,0.47413179,0,0.01939699,0,1
107,0.627962147,0,0,0,0,0,0,0,0,0,0.992886379,0.014176638,0,0.019254511,0,1
108,0.212101194,0,0,0,0,0,0,0,0,0,0.92039183,0.152878878,0,0.019096577,0,1
109,0.204695264,0,0,0,0,0,0,0,0,0,0.964537501,0.069667409,0,0.018999628,0,1
110,0.080276123,0,0,0,0,0,0,0,0,0,0.281847002,0.920562268,0,0.018955294,0,1
111,0.077077462,0,0,0,0,0,0,0,0,0,0.295398261,0.912739867,0,0.018685803,0,1
112,0.255770026,0,0,0,0,0,0,0,0,0,0.653072028,0.573496927,0,0.018683272,0,1
113,0.443285555,0,0,0,0,0,0,0,0,0,0.922881313,0.148290082,0,0.018589983,0,1
114,0.243734459,0,0,0,0,0,0,0,0,0,0.638278318,0.592600788,0,0.01856825,0,1
115,0.058236224,0,0,0,0,0,0,0,0,0,0.605830693,0.632969172,0,0.018561985,0,1
116,0.101432087,0,0,0,0,0,0,0,0,0,0.533210172,0.715686912,0,0.017941764,0,1
117,0.064427831,0,0,0,0,0,0,0,0,0,0.476405094,0.773038186,0,0.017881153,0,1
118,0.109148777,0,0,0,0,0,0,0,0,0,0.691768614,0.521456184,0,0.017676468,0,1
119,0.049206068,0,0,0,0,0,0,0,0,0,0.78448137,0.384588981,0,0.017638057,0,1
,,,,,,,,,,,,,,,,
summary,value,,,,,,,,,,,,0.280775,0.921165,,
function,ZDT6,,,,,,,,,,,,0.282214,0.920355,,
generation_count,2000,,,,,,,,,,,,0.283652,0.919541,,
evaluation_count,218000,,,,,,,,,,,,0.285091,0.918723,,
final_alpha,1.511966422,,,,,,,,,,,,0.286529,0.917901,,
population_size,120,,,,,,,,,,,,0.287968,0.917075,,
dimension,10,,,,,,,,,,,,0.289406,0.916244,,
,,,,,,,,,,,,,0.290844,0.915409,,
,,,,,,,,,,,,,0.292283,0.914571,,
,,,,,,,,,,,,,0.293721,0.913728,,
,,,,,,,,,,,,,0.295160,0.912881,,
,,,,,,,,,,,,,0.296598,0.912029,,
,,,,,,,,,,,,,0.298037,0.911174,,
,,,,,,,,,,,,,0.299475,0.910315,,
,,,,,,,,,,,,,0.300914,0.909451,,
,,,,,,,,,,,,,0.302352,0.908583,,
,,,,,,,,,,,,,0.303791,0.907711,,
,,,,,,,,,,,,,0.305229,0.906835,,
,,,,,,,,,,,,,0.306667,0.905955,,
,,,,,,,,,,,,,0.308106,0.905071,,
,,,,,,,,,,,,,0.309544,0.904182,,
,,,,,,,,,,,,,0.310983,0.903290,,
,,,,,,,,,,,,,0.312421,0.902393,,
,,,,,,,,,,,,,0.313860,0.901492,,
,,,,,,,,,,,,,0.315298,0.900587,,
,,,,,,,,,,,,,0.316737,0.899678,,
,,,,,,,,,,,,,0.318175,0.898765,,
,,,,,,,,,,,,,0.319613,0.897847,,
,,,,,,,,,,,,,0.321052,0.896926,,
,,,,,,,,,,,,,0.322490,0.896000,,
,,,,,,,,,,,,,0.323929,0.895070,,
,,,,,,,,,,,,,0.325367,0.894136,,
,,,,,,,,,,,,,0.326806,0.893198,,
,,,,,,,,,,,,,0.328244,0.892256,,
,,,,,,,,,,,,,0.329683,0.891309,,
,,,,,,,,,,,,,0.331121,0.890359,,
,,,,,,,,,,,,,0.332559,0.889404,,
,,,,,,,,,,,,,0.333998,0.888445,,
,,,,,,,,,,,,,0.335436,0.887482,,
,,,,,,,,,,,,,0.336875,0.886515,,
,,,,,,,,,,,,,0.338313,0.885544,,
,,,,,,,,,,,,,0.339752,0.884569,,
,,,,,,,,,,,,,0.341190,0.883589,,
,,,,,,,,,,,,,0.342629,0.882606,,
,,,,,,,,,,,,,0.344067,0.881618,,
,,,,,,,,,,,,,0.345506,0.880626,,
,,,,,,,,,,,,,0.346944,0.879630,,
,,,,,,,,,,,,,0.348382,0.878630,,
,,,,,,,,,,,,,0.349821,0.877625,,
,,,,,,,,,,,,,0.351259,0.876617,,
,,,,,,,,,,,,,0.352698,0.875604,,
,,,,,,,,,,,,,0.354136,0.874588,,
,,,,,,,,,,,,,0.355575,0.873567,,
,,,,,,,,,,,,,0.357013,0.872542,,
,,,,,,,,,,,,,0.358452,0.871512,,
,,,,,,,,,,,,,0.359890,0.870479,,
,,,,,,,,,,,,,0.361328,0.869442,,
,,,,,,,,,,,,,0.362767,0.868400,,
,,,,,,,,,,,,,0.364205,0.867354,,
,,,,,,,,,,,,,0.365644,0.866305,,
,,,,,,,,,,,,,0.367082,0.865251,,
,,,,,,,,,,,,,0.368521,0.864192,,
,,,,,,,,,,,,,0.369959,0.863130,,
,,,,,,,,,,,,,0.371398,0.862064,,
,,,,,,,,,,,,,0.372836,0.860993,,
,,,,,,,,,,,,,0.374275,0.859919,,
,,,,,,,,,,,,,0.375713,0.858840,,
,,,,,,,,,,,,,0.377151,0.857757,,
,,,,,,,,,,,,,0.378590,0.856670,,
,,,,,,,,,,,,,0.380028,0.855578,,
,,,,,,,,,,,,,0.381467,0.854483,,
,,,,,,,,,,,,,0.382905,0.853384,,
,,,,,,,,,,,,,0.384344,0.852280,,
,,,,,,,,,,,,,0.385782,0.851172,,
,,,,,,,,,,,,,0.387221,0.850060,,
,,,,,,,,,,,,,0.388659,0.848944,,
,,,,,,,,,,,,,0.390097,0.847824,,
,,,,,,,,,,,,,0.391536,0.846700,,
,,,,,,,,,,,,,0.392974,0.845571,,
,,,,,,,,,,,,,0.394413,0.844439,,
,,,,,,,,,,,,,0.395851,0.843302,,
,,,,,,,,,,,,,0.397290,0.842161,,
,,,,,,,,,,,,,0.398728,0.841016,,
,,,,,,,,,,,,,0.400167,0.839867,,
,,,,,,,,,,,,,0.401605,0.838713,,
,,,,,,,,,,,,,0.403044,0.837556,,
,,,,,,,,,,,,,0.404482,0.836394,,
,,,,,,,,,,,,,0.405920,0.835229,,
,,,,,,,,,,,,,0.407359,0.834059,,
,,,,,,,,,,,,,0.408797,0.832885,,
,,,,,,,,,,,,,0.410236,0.831707,,
,,,,,,,,,,,,,0.411674,0.830524,,
,,,,,,,,,,,,,0.413113,0.829338,,
,,,,,,,,,,,,,0.414551,0.828147,,
,,,,,,,,,,,,,0.415990,0.826953,,
,,,,,,,,,,,,,0.417428,0.825754,,
,,,,,,,,,,,,,0.418866,0.824551,,
,,,,,,,,,,,,,0.420305,0.823344,,
,,,,,,,,,,,,,0.421743,0.822133,,
,,,,,,,,,,,,,0.423182,0.820917,,
,,,,,,,,,,,,,0.424620,0.819698,,
,,,,,,,,,,,,,0.426059,0.818474,,
,,,,,,,,,,,,,0.427497,0.817246,,
,,,,,,,,,,,,,0.428936,0.816014,,
,,,,,,,,,,,,,0.430374,0.814778,,
,,,,,,,,,,,,,0.431813,0.813538,,
,,,,,,,,,,,,,0.433251,0.812294,,
,,,,,,,,,,,,,0.434689,0.811045,,
,,,,,,,,,,,,,0.436128,0.809792,,
,,,,,,,,,,,,,0.437566,0.808536,,
,,,,,,,,,,,,,0.439005,0.807275,,
,,,,,,,,,,,,,0.440443,0.806010,,
,,,,,,,,,,,,,0.441882,0.804741,,
,,,,,,,,,,,,,0.443320,0.803467,,
,,,,,,,,,,,,,0.444759,0.802190,,
,,,,,,,,,,,,,0.446197,0.800908,,
,,,,,,,,,,,,,0.447635,0.799623,,
,,,,,,,,,,,,,0.449074,0.798333,,
,,,,,,,,,,,,,0.450512,0.797039,,
,,,,,,,,,,,,,0.451951,0.795740,,
,,,,,,,,,,,,,0.453389,0.794438,,
,,,,,,,,,,,,,0.454828,0.793132,,
,,,,,,,,,,,,,0.456266,0.791821,,
,,,,,,,,,,,,,0.457705,0.790507,,
,,,,,,,,,,,,,0.459143,0.789188,,
,,,,,,,,,,,,,0.460581,0.787865,,
,,,,,,,,,,,,,0.462020,0.786538,,
,,,,,,,,,,,,,0.463458,0.785206,,
,,,,,,,,,,,,,0.464897,0.783871,,
,,,,,,,,,,,,,0.466335,0.782531,,
,,,,,,,,,,,,,0.467774,0.781188,,
,,,,,,,,,,,,,0.469212,0.779840,,
,,,,,,,,,,,,,0.470651,0.778488,,
,,,,,,,,,,,,,0.472089,0.777132,,
,,,,,,,,,,,,,0.473528,0.775772,,
,,,,,,,,,,,,,0.474966,0.774407,,
,,,,,,,,,,,,,0.476404,0.773039,,
,,,,,,,,,,,,,0.477843,0.771666,,
,,,,,,,,,,,,,0.479281,0.770289,,
,,,,,,,,,,,,,0.480720,0.768908,,
,,,,,,,,,,,,,0.482158,0.767523,,
,,,,,,,,,,,,,0.483597,0.766134,,
,,,,,,,,,,,,,0.485035,0.764741,,
,,,,,,,,,,,,,0.486474,0.763343,,
,,,,,,,,,,,,,0.487912,0.761942,,
,,,,,,,,,,,,,0.489350,0.760536,,
,,,,,,,,,,,,,0.490789,0.759126,,
,,,,,,,,,,,,,0.492227,0.757712,,
,,,,,,,,,,,,,0.493666,0.756294,,
,,,,,,,,,,,,,0.495104,0.754872,,
,,,,,,,,,,,,,0.496543,0.753445,,
,,,,,,,,,,,,,0.497981,0.752015,,
,,,,,,,,,,,,,0.499420,0.750580,,
,,,,,,,,,,,,,0.500858,0.749141,,
,,,,,,,,,,,,,0.502297,0.747698,,
,,,,,,,,,,,,,0.503735,0.746251,,
,,,,,,,,,,,,,0.505173,0.744800,,
,,,,,,,,,,,,,0.506612,0.743344,,
,,,,,,,,,,,,,0.508050,0.741885,,
,,,,,,,,,,,,,0.509489,0.740421,,
,,,,,,,,,,,,,0.510927,0.738953,,
,,,,,,,,,,,,,0.512366,0.737481,,
,,,,,,,,,,,,,0.513804,0.736005,,
,,,,,,,,,,,,,0.515243,0.734525,,
,,,,,,,,,,,,,0.516681,0.733041,,
,,,,,,,,,,,,,0.518119,0.731552,,
,,,,,,,,,,,,,0.519558,0.730060,,
,,,,,,,,,,,,,0.520996,0.728563,,
,,,,,,,,,,,,,0.522435,0.727062,,
,,,,,,,,,,,,,0.523873,0.725557,,
,,,,,,,,,,,,,0.525312,0.724048,,
,,,,,,,,,,,,,0.526750,0.722534,,
,,,,,,,,,,,,,0.528189,0.721017,,
,,,,,,,,,,,,,0.529627,0.719495,,
,,,,,,,,,,,,,0.531066,0.717969,,
,,,,,,,,,,,,,0.532504,0.716440,,
,,,,,,,,,,,,,0.533942,0.714906,,
,,,,,,,,,,,,,0.535381,0.713367,,
,,,,,,,,,,,,,0.536819,0.711825,,
,,,,,,,,,,,,,0.538258,0.710279,,
,,,,,,,,,,,,,0.539696,0.708728,,
,,,,,,,,,,,,,0.541135,0.707173,,
,,,,,,,,,,,,,0.542573,0.705614,,
,,,,,,,,,,,,,0.544012,0.704051,,
,,,,,,,,,,,,,0.545450,0.702484,,
,,,,,,,,,,,,,0.546888,0.700913,,
,,,,,,,,,,,,,0.548327,0.699338,,
,,,,,,,,,,,,,0.549765,0.697758,,
,,,,,,,,,,,,,0.551204,0.696174,,
,,,,,,,,,,,,,0.552642,0.694587,,
,,,,,,,,,,,,,0.554081,0.692995,,
,,,,,,,,,,,,,0.555519,0.691398,,
,,,,,,,,,,,,,0.556958,0.689798,,
,,,,,,,,,,,,,0.558396,0.688194,,
,,,,,,,,,,,,,0.559834,0.686585,,
,,,,,,,,,,,,,0.561273,0.684973,,
,,,,,,,,,,,,,0.562711,0.683356,,
,,,,,,,,,,,,,0.564150,0.681735,,
,,,,,,,,,,,,,0.565588,0.680110,,
,,,,,,,,,,,,,0.567027,0.678481,,
,,,,,,,,,,,,,0.568465,0.676847,,
,,,,,,,,,,,,,0.569904,0.675210,,
,,,,,,,,,,,,,0.571342,0.673568,,
,,,,,,,,,,,,,0.572781,0.671922,,
,,,,,,,,,,,,,0.574219,0.670273,,
,,,,,,,,,,,,,0.575657,0.668619,,
,,,,,,,,,,,,,0.577096,0.666960,,
,,,,,,,,,,,,,0.578534,0.665298,,
,,,,,,,,,,,,,0.579973,0.663632,,
,,,,,,,,,,,,,0.581411,0.661961,,
,,,,,,,,,,,,,0.582850,0.660286,,
,,,,,,,,,,,,,0.584288,0.658607,,
,,,,,,,,,,,,,0.585727,0.656924,,
,,,,,,,,,,,,,0.587165,0.655237,,
,,,,,,,,,,,,,0.588603,0.653546,,
,,,,,,,,,,,,,0.590042,0.651851,,
,,,,,,,,,,,,,0.591480,0.650151,,
,,,,,,,,,,,,,0.592919,0.648447,,
,,,,,,,,,,,,,0.594357,0.646739,,
,,,,,,,,,,,,,0.595796,0.645027,,
,,,,,,,,,,,,,0.597234,0.643311,,
,,,,,,,,,,,,,0.598673,0.641591,,
,,,,,,,,,,,,,0.600111,0.639867,,
,,,,,,,,,,,,,0.601550,0.638138,,
,,,,,,,,,,,,,0.602988,0.636406,,
,,,,,,,,,,,,,0.604426,0.634669,,
,,,,,,,,,,,,,0.605865,0.632928,,
,,,,,,,,,,,,,0.607303,0.631183,,
,,,,,,,,,,,,,0.608742,0.629433,,
,,,,,,,,,,,,,0.610180,0.627680,,
,,,,,,,,,,,,,0.611619,0.625923,,
,,,,,,,,,,,,,0.613057,0.624161,,
,,,,,,,,,,,,,0.614496,0.622395,,
,,,,,,,,,,,,,0.615934,0.620625,,
,,,,,,,,,,,,,0.617372,0.618851,,
,,,,,,,,,,,,,0.618811,0.617073,,
,,,,,,,,,,,,,0.620249,0.615291,,
,,,,,,,,,,,,,0.621688,0.613504,,
,,,,,,,,,,,,,0.623126,0.611714,,
,,,,,,,,,,,,,0.624565,0.609919,,
,,,,,,,,,,,,,0.626003,0.608120,,
,,,,,,,,,,,,,0.627442,0.606317,,
,,,,,,,,,,,,,0.628880,0.604510,,
,,,,,,,,,,,,,0.630319,0.602699,,
,,,,,,,,,,,,,0.631757,0.600883,,
,,,,,,,,,,,,,0.633195,0.599064,,
,,,,,,,,,,,,,0.634634,0.597240,,
,,,,,,,,,,,,,0.636072,0.595412,,
,,,,,,,,,,,,,0.637511,0.593580,,
,,,,,,,,,,,,,0.638949,0.591744,,
,,,,,,,,,,,,,0.640388,0.589904,,
,,,,,,,,,,,,,0.641826,0.588059,,
,,,,,,,,,,,,,0.643265,0.586211,,
,,,,,,,,,,,,,0.644703,0.584358,,
,,,,,,,,,,,,,0.646141,0.582501,,
,,,,,,,,,,,,,0.647580,0.580640,,
,,,,,,,,,,,,,0.649018,0.578775,,
,,,,,,,,,,,,,0.650457,0.576906,,
,,,,,,,,,,,,,0.651895,0.575033,,
,,,,,,,,,,,,,0.653334,0.573155,,
,,,,,,,,,,,,,0.654772,0.571273,,
,,,,,,,,,,,,,0.656211,0.569388,,
,,,,,,,,,,,,,0.657649,0.567498,,
,,,,,,,,,,,,,0.659088,0.565604,,
,,,,,,,,,,,,,0.660526,0.563705,,
,,,,,,,,,,,,,0.661964,0.561803,,
,,,,,,,,,,,,,0.663403,0.559897,,
,,,,,,,,,,,,,0.664841,0.557986,,
,,,,,,,,,,,,,0.666280,0.556071,,
,,,,,,,,,,,,,0.667718,0.554152,,
,,,,,,,,,,,,,0.669157,0.552229,,
,,,,,,,,,,,,,0.670595,0.550302,,
,,,,,,,,,,,,,0.672034,0.548371,,
,,,,,,,,,,,,,0.673472,0.546435,,
,,,,,,,,,,,,,0.674910,0.544496,,
,,,,,,,,,,,,,0.676349,0.542552,,
,,,,,,,,,,,,,0.677787,0.540604,,
,,,,,,,,,,,,,0.679226,0.538652,,
,,,,,,,,,,,,,0.680664,0.536696,,
,,,,,,,,,,,,,0.682103,0.534736,,
,,,,,,,,,,,,,0.683541,0.532772,,
,,,,,,,,,,,,,0.684980,0.530803,,
,,,,,,,,,,,,,0.686418,0.528830,,
,,,,,,,,,,,,,0.687856,0.526853,,
,,,,,,,,,,,,,0.689295,0.524872,,
,,,,,,,,,,,,,0.690733,0.522887,,
,,,,,,,,,,,,,0.692172,0.520898,,
,,,,,,,,,,,,,0.693610,0.518905,,
,,,,,,,,,,,,,0.695049,0.516907,,
,,,,,,,,,,,,,0.696487,0.514906,,
,,,,,,,,,,,,,0.697926,0.512900,,
,,,,,,,,,,,,,0.699364,0.510890,,
,,,,,,,,,,,,,0.700803,0.508876,,
,,,,,,,,,,,,,0.702241,0.506858,,
,,,,,,,,,,,,,0.703679,0.504835,,
,,,,,,,,,,,,,0.705118,0.502809,,
,,,,,,,,,,,,,0.706556,0.500778,,
,,,,,,,,,,,,,0.707995,0.498743,,
,,,,,,,,,,,,,0.709433,0.496704,,
,,,,,,,,,,,,,0.710872,0.494661,,
,,,,,,,,,,,,,0.712310,0.492614,,
,,,,,,,,,,,,,0.713749,0.490563,,
,,,,,,,,,,,,,0.715187,0.488508,,
,,,,,,,,,,,,,0.716625,0.486448,,
,,,,,,,,,,,,,0.718064,0.484384,,
,,,,,,,,,,,,,0.719502,0.482316,,
,,,,,,,,,,,,,0.720941,0.480244,,
,,,,,,,,,,,,,0.722379,0.478168,,
,,,,,,,,,,,,,0.723818,0.476088,,
,,,,,,,,,,,,,0.725256,0.474003,,
,,,,,,,,,,,,,0.726695,0.471915,,
,,,,,,,,,,,,,0.728133,0.469822,,
,,,,,,,,,,,,,0.729572,0.467725,,
,,,,,,,,,,,,,0.731010,0.465624,,
,,,,,,,,,,,,,0.732448,0.463519,,
,,,,,,,,,,,,,0.733887,0.461410,,
,,,,,,,,,,,,,0.735325,0.459297,,
,,,,,,,,,,,,,0.736764,0.457179,,
,,,,,,,,,,,,,0.738202,0.455057,,
,,,,,,,,,,,,,0.739641,0.452932,,
,,,,,,,,,,,,,0.741079,0.450802,,
,,,,,,,,,,,,,0.742518,0.448668,,
,,,,,,,,,,,,,0.743956,0.446529,,
,,,,,,,,,,,,,0.745394,0.444387,,
,,,,,,,,,,,,,0.746833,0.442241,,
,,,,,,,,,,,,,0.748271,0.440090,,
,,,,,,,,,,,,,0.749710,0.437935,,
,,,,,,,,,,,,,0.751148,0.435776,,
,,,,,,,,,,,,,0.752587,0.433613,,
,,,,,,,,,,,,,0.754025,0.431446,,
,,,,,,,,,,,,,0.755464,0.429275,,
,,,,,,,,,,,,,0.756902,0.427099,,
,,,,,,,,,,,,,0.758341,0.424920,,
,,,,,,,,,,,,,0.759779,0.422736,,
,,,,,,,,,,,,,0.761217,0.420548,,
,,,,,,,,,,,,,0.762656,0.418356,,
,,,,,,,,,,,,,0.764094,0.416160,,
,,,,,,,,,,,,,0.765533,0.413960,,
,,,,,,,,,,,,,0.766971,0.411755,,
,,,,,,,,,,,,,0.768410,0.409547,,
,,,,,,,,,,,,,0.769848,0.407334,,
,,,,,,,,,,,,,0.771287,0.405117,,
,,,,,,,,,,,,,0.772725,0.402896,,
,,,,,,,,,,,,,0.774163,0.400671,,
,,,,,,,,,,,,,0.775602,0.398442,,
,,,,,,,,,,,,,0.777040,0.396208,,
,,,,,,,,,,,,,0.778479,0.393971,,
,,,,,,,,,,,,,0.779917,0.391729,,
,,,,,,,,,,,,,0.781356,0.389483,,
,,,,,,,,,,,,,0.782794,0.387233,,
,,,,,,,,,,,,,0.784233,0.384979,,
,,,,,,,,,,,,,0.785671,0.382721,,
,,,,,,,,,,,,,0.787109,0.380459,,
,,,,,,,,,,,,,0.788548,0.378192,,
,,,,,,,,,,,,,0.789986,0.375921,,
,,,,,,,,,,,,,0.791425,0.373647,,
,,,,,,,,,,,,,0.792863,0.371368,,
,,,,,,,,,,,,,0.794302,0.369085,,
,,,,,,,,,,,,,0.795740,0.366798,,
,,,,,,,,,,,,,0.797179,0.364506,,
,,,,,,,,,,,,,0.798617,0.362211,,
,,,,,,,,,,,,,0.800056,0.359911,,
,,,,,,,,,,,,,0.801494,0.357607,,
,,,,,,,,,,,,,0.802932,0.355300,,
,,,,,,,,,,,,,0.804371,0.352987,,
,,,,,,,,,,,,,0.805809,0.350671,,
,,,,,,,,,,,,,0.807248,0.348351,,
,,,,,,,,,,,,,0.808686,0.346027,,
,,,,,,,,,,,,,0.810125,0.343698,,
,,,,,,,,,,,,,0.811563,0.341365,,
,,,,,,,,,,,,,0.813002,0.339028,,
,,,,,,,,,,,,,0.814440,0.336687,,
,,,,,,,,,,,,,0.815878,0.334342,,
,,,,,,,,,,,,,0.817317,0.331993,,
,,,,,,,,,,,,,0.818755,0.329640,,
,,,,,,,,,,,,,0.820194,0.327282,,
,,,,,,,,,,,,,0.821632,0.324920,,
,,,,,,,,,,,,,0.823071,0.322555,,
,,,,,,,,,,,,,0.824509,0.320185,,
,,,,,,,,,,,,,0.825948,0.317811,,
,,,,,,,,,,,,,0.827386,0.315432,,
,,,,,,,,,,,,,0.828825,0.313050,,
,,,,,,,,,,,,,0.830263,0.310663,,
,,,,,,,,,,,,,0.831701,0.308273,,
,,,,,,,,,,,,,0.833140,0.305878,,
,,,,,,,,,,,,,0.834578,0.303479,,
,,,,,,,,,,,,,0.836017,0.301076,,
,,,,,,,,,,,,,0.837455,0.298669,,
,,,,,,,,,,,,,0.838894,0.296257,,
,,,,,,,,,,,,,0.840332,0.293842,,
,,,,,,,,,,,,,0.841771,0.291422,,
,,,,,,,,,,,,,0.843209,0.288999,,
,,,,,,,,,,,,,0.844647,0.286571,,
,,,,,,,,,,,,,0.846086,0.284139,,
,,,,,,,,,,,,,0.847524,0.281702,,
,,,,,,,,,,,,,0.848963,0.279262,,
,,,,,,,,,,,,,0.850401,0.276818,,
,,,,,,,,,,,,,0.851840,0.274369,,
,,,,,,,,,,,,,0.853278,0.271916,,
,,,,,,,,,,,,,0.854717,0.269460,,
,,,,,,,,,,,,,0.856155,0.266999,,
,,,,,,,,,,,,,0.857594,0.264533,,
,,,,,,,,,,,,,0.859032,0.262064,,
,,,,,,,,,,,,,0.860470,0.259591,,
,,,,,,,,,,,,,0.861909,0.257113,,
,,,,,,,,,,,,,0.863347,0.254631,,
,,,,,,,,,,,,,0.864786,0.252146,,
,,,,,,,,,,,,,0.866224,0.249656,,
,,,,,,,,,,,,,0.867663,0.247162,,
,,,,,,,,,,,,,0.869101,0.244663,,
,,,,,,,,,,,,,0.870540,0.242161,,
,,,,,,,,,,,,,0.871978,0.239654,,
,,,,,,,,,,,,,0.873416,0.237144,,
,,,,,,,,,,,,,0.874855,0.234629,,
,,,,,,,,,,,,,0.876293,0.232110,,
,,,,,,,,,,,,,0.877732,0.229587,,
,,,,,,,,,,,,,0.879170,0.227060,,
,,,,,,,,,,,,,0.880609,0.224528,,
,,,,,,,,,,,,,0.882047,0.221993,,
,,,,,,,,,,,,,0.883486,0.219453,,
,,,,,,,,,,,,,0.884924,0.216909,,
,,,,,,,,,,,,,0.886363,0.214362,,
,,,,,,,,,,,,,0.887801,0.211809,,
,,,,,,,,,,,,,0.889239,0.209253,,
,,,,,,,,,,,,,0.890678,0.206693,,
,,,,,,,,,,,,,0.892116,0.204129,,
,,,,,,,,,,,,,0.893555,0.201560,,
,,,,,,,,,,,,,0.894993,0.198987,,
,,,,,,,,,,,,,0.896432,0.196410,,
,,,,,,,,,,,,,0.897870,0.193829,,
,,,,,,,,,,,,,0.899309,0.191244,,
,,,,,,,,,,,,,0.900747,0.188655,,
,,,,,,,,,,,,,0.902185,0.186061,,
,,,,,,,,,,,,,0.903624,0.183464,,
,,,,,,,,,,,,,0.905062,0.180862,,
,,,,,,,,,,,,,0.906501,0.178256,,
,,,,,,,,,,,,,0.907939,0.175646,,
,,,,,,,,,,,,,0.909378,0.173032,,
,,,,,,,,,,,,,0.910816,0.170414,,
,,,,,,,,,,,,,0.912255,0.167792,,
,,,,,,,,,,,,,0.913693,0.165165,,
,,,,,,,,,,,,,0.915131,0.162534,,
,,,,,,,,,,,,,0.916570,0.159900,,
,,,,,,,,,,,,,0.918008,0.157261,,
,,,,,,,,,,,,,0.919447,0.154618,,
,,,,,,,,,,,,,0.920885,0.151970,,
,,,,,,,,,,,,,0.922324,0.149319,,
,,,,,,,,,,,,,0.923762,0.146663,,
,,,,,,,,,,,,,0.925201,0.144004,,
,,,,,,,,,,,,,0.926639,0.141340,,
